TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2026,3,11,7,45,7XX DAVIE ST,Central Business District,490783.7353,5458304.9989
Other Theft,2026,4,7,20,24,7XX DAVIE ST,Central Business District,490783.7353,5458304.9989
Other Theft,2026,4,8,11,13,7XX DAVIE ST,Central Business District,490783.7353,5458304.9989
Other Theft,2026,4,17,1,41,7XX DAVIE ST,Central Business District,490794.4178,5458294.3972
Other Theft,2026,3,24,16,33,7XX DAVIE ST,Central Business District,490795.8192,5458293.0064
Other Theft,2026,7,29,1,33,7XX DAVIE ST,Central Business District,490811.2351,5458277.7073
Other Theft,2026,7,29,2,34,7XX DAVIE ST,Central Business District,490811.2351,5458277.7073
Other Theft,2026,4,2,2,48,7XX DAVIE ST,Central Business District,490816.8409,5458272.1439
Other Theft,2026,1,14,13,22,7XX DRAKE ST,Central Business District,490642.3582,5458226.7686
Other Theft,2026,1,3,10,48,7XX DUNSMUIR ST,Central Business District,491483.7724,5459051.5702
Other Theft,2026,3,5,17,48,7XX DUNSMUIR ST,Central Business District,491483.7724,5459051.5702
Other Theft,2026,3,18,12,5,7XX DUNSMUIR ST,Central Business District,491483.7724,5459051.5702
Other Theft,2026,4,19,17,30,7XX DUNSMUIR ST,Central Business District,491483.7724,5459051.5702
Other Theft,2026,5,9,10,0,7XX E 50TH AVE,Sunset,493523.9053,5452412.7427
Other Theft,2026,2,4,11,10,7XX E 56TH AVE,Sunset,493476.2864,5451811.7081
Other Theft,2026,2,10,17,16,7XX E 63RD AVE,Sunset,493378.4172,5451145.0234
Other Theft,2026,2,4,5,0,7XX E 7TH AVE,Mount Pleasant,493558.4099,5456848.8838
Other Theft,2026,4,14,15,32,7XX E 7TH AVE,Mount Pleasant,493559.732,5456848.8654
Other Theft,2026,1,14,11,22,7XX E BROADWAY AVE,Mount Pleasant,493581.6105,5456643.0148
Other Theft,2026,1,28,16,30,7XX E BROADWAY AVE,Mount Pleasant,493586.9496,5456633.8139
